Type,Group,SgPic,PlPic,Sg,Pl,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,ItemID,Ask for singular or plural?,objects,SgPicZip,PlPicZip
Training & Test,5,https://lh3.googleusercontent.com/u/0/d/1XrBQmhPsvirm0f8xzCMPynm-3ueOcxJi=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1c-QuUwGebqYycv8QdcXZe1xdffDPxymx=s3200-k-iv1,ronav,ronod,ronav,ronek,ronib,ronod,ronug,ronal,ronit,ronup,9,Singular,computers,One computer.jpg,Two computers.jpg
Training & Test,6,https://lh3.googleusercontent.com/u/0/d/1XrBQmhPsvirm0f8xzCMPynm-3ueOcxJi=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1c-QuUwGebqYycv8QdcXZe1xdffDPxymx=s3200-k-iv1,ronib,ronod,ronav,ronek,ronib,ronod,ronug,ronal,ronit,ronup,9,Singular,computers,One computer.jpg,Two computers.jpg
Training & Test,1,https://lh3.googleusercontent.com/u/0/d/1bPmXFw2B8xm-BRGwmj0Tbsb4NUQ6t-eq=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/12QV7u5fFtLi0sup8YRUa7PLA_zpFmlfy=s3200-k-iv1,zupav,zupek,zupav,zupek,zupib,zupod,zupug,zupal,zupit,zupup,10,Singular,plates,One plate.jpg,Two plates.jpg
Training & Test,2,https://lh3.googleusercontent.com/u/0/d/1bPmXFw2B8xm-BRGwmj0Tbsb4NUQ6t-eq=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/12QV7u5fFtLi0sup8YRUa7PLA_zpFmlfy=s3200-k-iv1,zupav,zupod,zupav,zupek,zupib,zupod,zupug,zupal,zupit,zupup,10,Singular,plates,One plate.jpg,Two plates.jpg
Training & Test,3,https://lh3.googleusercontent.com/u/0/d/1bPmXFw2B8xm-BRGwmj0Tbsb4NUQ6t-eq=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/12QV7u5fFtLi0sup8YRUa7PLA_zpFmlfy=s3200-k-iv1,zupav,zupek,zupav,zupek,zupib,zupod,zupug,zupal,zupit,zupup,10,Singular,plates,One plate.jpg,Two plates.jpg
Training & Test,4,https://lh3.googleusercontent.com/u/0/d/1bPmXFw2B8xm-BRGwmj0Tbsb4NUQ6t-eq=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/12QV7u5fFtLi0sup8YRUa7PLA_zpFmlfy=s3200-k-iv1,zupib,zupod,zupav,zupek,zupib,zupod,zupug,zupal,zupit,zupup,10,Singular,plates,One plate.jpg,Two plates.jpg
Training & Test,5,https://lh3.googleusercontent.com/u/0/d/1bPmXFw2B8xm-BRGwmj0Tbsb4NUQ6t-eq=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/12QV7u5fFtLi0sup8YRUa7PLA_zpFmlfy=s3200-k-iv1,zupug,zupal,zupav,zupek,zupib,zupod,zupug,zupal,zupit,zupup,10,Singular,plates,One plate.jpg,Two plates.jpg
Training & Test,6,https://lh3.googleusercontent.com/u/0/d/1bPmXFw2B8xm-BRGwmj0Tbsb4NUQ6t-eq=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/12QV7u5fFtLi0sup8YRUa7PLA_zpFmlfy=s3200-k-iv1,zupug,zupal,zupav,zupek,zupib,zupod,zupug,zupal,zupit,zupup,10,Singular,plates,One plate.jpg,Two plates.jpg
Training & Test,1,https://lh3.googleusercontent.com/u/0/d/1TptIA_ws9gdLRoyMNlXf0Q_KucmYln_O=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1BP40oMXMlSoKqxLN9t72IZsp-lE2VASz=s3200-k-iv1,jagav,jagek,jagav,jagek,jagib,jagod,jagug,jagal,jagit,jagup,11,Singular,frogs,One frog.jpg,Two frogs.jpg
Training & Test,2,https://lh3.googleusercontent.com/u/0/d/1TptIA_ws9gdLRoyMNlXf0Q_KucmYln_O=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1BP40oMXMlSoKqxLN9t72IZsp-lE2VASz=s3200-k-iv1,jagib,jagod,jagav,jagek,jagib,jagod,jagug,jagal,jagit,jagup,11,Singular,frogs,One frog.jpg,Two frogs.jpg
Training & Test,3,https://lh3.googleusercontent.com/u/0/d/1TptIA_ws9gdLRoyMNlXf0Q_KucmYln_O=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1BP40oMXMlSoKqxLN9t72IZsp-lE2VASz=s3200-k-iv1,jagav,jagod,jagav,jagek,jagib,jagod,jagug,jagal,jagit,jagup,11,Singular,frogs,One frog.jpg,Two frogs.jpg
Training & Test,4,https://lh3.googleusercontent.com/u/0/d/1TptIA_ws9gdLRoyMNlXf0Q_KucmYln_O=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1BP40oMXMlSoKqxLN9t72IZsp-lE2VASz=s3200-k-iv1,jagib,jagod,jagav,jagek,jagib,jagod,jagug,jagal,jagit,jagup,11,Singular,frogs,One frog.jpg,Two frogs.jpg
Training & Test,5,https://lh3.googleusercontent.com/u/0/d/1TptIA_ws9gdLRoyMNlXf0Q_KucmYln_O=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1BP40oMXMlSoKqxLN9t72IZsp-lE2VASz=s3200-k-iv1,jagib,jagod,jagav,jagek,jagib,jagod,jagug,jagal,jagit,jagup,11,Singular,frogs,One frog.jpg,Two frogs.jpg
Training & Test,6,https://lh3.googleusercontent.com/u/0/d/1TptIA_ws9gdLRoyMNlXf0Q_KucmYln_O=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1BP40oMXMlSoKqxLN9t72IZsp-lE2VASz=s3200-k-iv1,jagav,jagek,jagav,jagek,jagib,jagod,jagug,jagal,jagit,jagup,11,Singular,frogs,One frog.jpg,Two frogs.jpg
